Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-04,52.03958246561921,53.301996751265094,51.38499582716164,51.4317512512207,90166051,0.0,0
2021-03-05,50.59014029465896,53.30199774728197,50.59014029465896,53.16172790527344,69193790,0.0,0
2021-03-08,53.67604329700116,55.35926340875449,52.13308944702148,52.600650787353516,108863062,0.0,0
2021-03-09,52.55389886123085,52.83443497064178,50.16933658042268,51.291481018066406,101344904,0.0,0
2021-03-10,52.366872714777934,52.55389797362987,50.122576742974836,50.21609115600586,66922909,0.0,0
2021-03-11,50.49662898017373,51.10446020033769,49.748531486502095,49.888797760009766,59227337,0.0,0
2021-03-12,49.98231348443229,50.30960503172677,48.62638473510742,48.62638473510742,71495352,0.0,0
2021-03-15,49.18745445582994,50.122577191242755,48.62638224146631,48.67313766479492,52556519,0.0,0
2021-03-16,49.70177552360079,50.49662843316467,49.14069973401729,49.60826110839844,42137105,0.0,0
2021-03-17,49.467994599999166,50.87067871643911,49.467994599999166,50.12257766723633,26006966,0.0,0
2021-03-18,50.40311734429246,51.151214826285056,50.122577667236335,50.12257766723633,25654467,0.0,0
2021-03-19,49.70177670195476,49.88879840237307,49.093945473964425,49.51475143432617,32085649,0.0,0
2021-03-22,49.140698800524916,49.93555526219965,49.09394337741702,49.18745422363281,30270543,0.0,0
2021-03-23,49.18745352274953,49.374478779726275,48.62638131902938,48.76665115356445,39098889,0.0,0
2021-03-24,48.67313898458328,49.187455789564176,48.67313898458328,48.71989440917969,41392134,0.0,0
2021-03-25,48.53286932975193,48.813405424997036,47.22369612899482,47.69125747680664,92909244,0.0,0
2021-03-26,47.36396672539103,47.69125824726274,46.75613553653209,47.45747756958008,57759796,0.0,0
2021-03-29,47.270451550334,48.01854899339093,46.80289020252217,47.69125747680664,42268324,0.0,0
2021-03-30,47.36396897255625,47.925041198730476,47.36396897255625,47.92504119873047,20508871,0.0,0
2021-03-31,47.87828523325101,47.92504065703535,47.317209446208395,47.64450454711914,22698783,0.0,0
2021-04-01,47.504233540806325,47.97179490157648,47.41072269553633,47.738014221191406,25523704,0.0,0
2021-04-07,47.59774990531273,48.01855229349529,47.31721022357738,47.41072463989258,28251734,0.0,0
2021-04-08,47.36396789550781,47.644504002215584,46.756136691632534,47.36396789550781,40075083,0.0,0
2021-04-09,47.36396827856924,47.59774896391813,46.89640690787146,46.98991775512695,25430243,0.0,0
2021-04-12,46.849649089047034,47.22369962184675,46.75613823945223,46.89640808105469,32630197,0.0,0
2021-04-13,46.89640768832818,47.083429385951604,46.75613784790039,46.75613784790039,36583608,0.0,0
